rank	hand	abbreviation	description
350	14 13 12 8 3	F	Ace-High Flush
351	14 13 12 8 2	F	Ace-High Flush
352	14 13 12 7 6	F	Ace-High Flush
353	14 13 12 7 5	F	Ace-High Flush
354	14 13 12 7 4	F	Ace-High Flush
355	14 13 12 7 3	F	Ace-High Flush
356	14 13 12 7 2	F	Ace-High Flush
357	14 13 12 6 5	F	Ace-High Flush
358	14 13 12 6 4	F	Ace-High Flush
359	14 13 12 6 3	F	Ace-High Flush
360	14 13 12 6 2	F	Ace-High Flush
361	14 13 12 5 4	F	Ace-High Flush
362	14 13 12 5 3	F	Ace-High Flush
363	14 13 12 5 2	F	Ace-High Flush
364	14 13 12 4 3	F	Ace-High Flush
365	14 13 12 4 2	F	Ace-High Flush
366	14 13 12 3 2	F	Ace-High Flush
367	14 13 11 10 9	F	Ace-High Flush
368	14 13 11 10 8	F	Ace-High Flush
369	14 13 11 10 7	F	Ace-High Flush
370	14 13 11 10 6	F	Ace-High Flush
371	14 13 11 10 5	F	Ace-High Flush
372	14 13 11 10 4	F	Ace-High Flush
373	14 13 11 10 3	F	Ace-High Flush
374	14 13 11 10 2	F	Ace-High Flush
375	14 13 11 9 8	F	Ace-High Flush
376	14 13 11 9 7	F	Ace-High Flush
377	14 13 11 9 6	F	Ace-High Flush
378	14 13 11 9 5	F	Ace-High Flush
379	14 13 11 9 4	F	Ace-High Flush
380	14 13 11 9 3	F	Ace-High Flush
381	14 13 11 9 2	F	Ace-High Flush
382	14 13 11 8 7	F	Ace-High Flush
383	14 13 11 8 6	F	Ace-High Flush
384	14 13 11 8 5	F	Ace-High Flush
385	14 13 11 8 4	F	Ace-High Flush
386	14 13 11 8 3	F	Ace-High Flush
387	14 13 11 8 2	F	Ace-High Flush
388	14 13 11 7 6	F	Ace-High Flush
389	14 13 11 7 5	F	Ace-High Flush
390	14 13 11 7 4	F	Ace-High Flush
391	14 13 11 7 3	F	Ace-High Flush
392	14 13 11 7 2	F	Ace-High Flush
393	14 13 11 6 5	F	Ace-High Flush
394	14 13 11 6 4	F	Ace-High Flush
395	14 13 11 6 3	F	Ace-High Flush
396	14 13 11 6 2	F	Ace-High Flush
397	14 13 11 5 4	F	Ace-High Flush
398	14 13 11 5 3	F	Ace-High Flush
399	14 13 11 5 2	F	Ace-High Flush
400	14 13 11 4 3	F	Ace-High Flush
401	14 13 11 4 2	F	Ace-High Flush
402	14 13 11 3 2	F	Ace-High Flush
403	14 13 10 9 8	F	Ace-High Flush
404	14 13 10 9 7	F	Ace-High Flush
405	14 13 10 9 6	F	Ace-High Flush
406	14 13 10 9 5	F	Ace-High Flush
407	14 13 10 9 4	F	Ace-High Flush
408	14 13 10 9 3	F	Ace-High Flush
409	14 13 10 9 2	F	Ace-High Flush
410	14 13 10 8 7	F	Ace-High Flush
411	14 13 10 8 6	F	Ace-High Flush
412	14 13 10 8 5	F	Ace-High Flush
413	14 13 10 8 4	F	Ace-High Flush
414	14 13 10 8 3	F	Ace-High Flush
415	14 13 10 8 2	F	Ace-High Flush
416	14 13 10 7 6	F	Ace-High Flush
417	14 13 10 7 5	F	Ace-High Flush
418	14 13 10 7 4	F	Ace-High Flush
419	14 13 10 7 3	F	Ace-High Flush
420	14 13 10 7 2	F	Ace-High Flush
421	14 13 10 6 5	F	Ace-High Flush
422	14 13 10 6 4	F	Ace-High Flush
423	14 13 10 6 3	F	Ace-High Flush
424	14 13 10 6 2	F	Ace-High Flush
425	14 13 10 5 4	F	Ace-High Flush
426	14 13 10 5 3	F	Ace-High Flush
427	14 13 10 5 2	F	Ace-High Flush
428	14 13 10 4 3	F	Ace-High Flush
429	14 13 10 4 2	F	Ace-High Flush
430	14 13 10 3 2	F	Ace-High Flush
431	14 13 9 8 7	F	Ace-High Flush
432	14 13 9 8 6	F	Ace-High Flush
433	14 13 9 8 5	F	Ace-High Flush
434	14 13 9 8 4	F	Ace-High Flush
435	14 13 9 8 3	F	Ace-High Flush
436	14 13 9 8 2	F	Ace-High Flush
437	14 13 9 7 6	F	Ace-High Flush
438	14 13 9 7 5	F	Ace-High Flush
439	14 13 9 7 4	F	Ace-High Flush
440	14 13 9 7 3	F	Ace-High Flush
441	14 13 9 7 2	F	Ace-High Flush
442	14 13 9 6 5	F	Ace-High Flush
443	14 13 9 6 4	F	Ace-High Flush
444	14 13 9 6 3	F	Ace-High Flush
445	14 13 9 6 2	F	Ace-High Flush
446	14 13 9 5 4	F	Ace-High Flush
447	14 13 9 5 3	F	Ace-High Flush
448	14 13 9 5 2	F	Ace-High Flush
449	14 13 9 4 3	F	Ace-High Flush
450	14 13 9 4 2	F	Ace-High Flush
451	14 13 9 3 2	F	Ace-High Flush
452	14 13 8 7 6	F	Ace-High Flush
453	14 13 8 7 5	F	Ace-High Flush
454	14 13 8 7 4	F	Ace-High Flush
455	14 13 8 7 3	F	Ace-High Flush
456	14 13 8 7 2	F	Ace-High Flush
457	14 13 8 6 5	F	Ace-High Flush
458	14 13 8 6 4	F	Ace-High Flush
459	14 13 8 6 3	F	Ace-High Flush
460	14 13 8 6 2	F	Ace-High Flush
